filename,avg_token_length,avg_identifier_length,num_lines,num_tokens,snake_case_count,comment_density,avg_line_length,tabs,blank_lines,docstrings,function,for_loop_count,while_loop_count,total_loop_count,ast_depth,assignment_count,list_comprehension_count,for_loops_with_append,else_in_loop,label
ai1.py,2.55,2.91,69,544,0,0.06,16.9,68,9,0,True,0,0,0,14,0,0,0,0,ai
ai10.py,4.74,6.67,11,66,2,0.27,26.5,5,2,0,True,0,0,0,9,0,0,0,0,ai
ai11.py,4.77,5.73,17,92,2,0.35,25.4,10,5,0,True,0,0,0,8,2,0,0,0,ai
ai12.py,2.57,3.32,15,74,1,0.13,18.0,5,2,0,True,0,0,0,6,4,0,0,0,ai
ai13.py,1.21,4.5,9,620,1,0.22,124.4,1,2,0,True,0,0,0,6,2,0,0,0,ai
ai14.py,2.93,4.68,27,191,3,0.11,33.2,16,6,0,True,0,0,0,9,1,0,0,0,ai
ai15.py,5.95,9.35,20,89,4,0.35,25.9,14,4,0,True,0,0,0,6,0,0,0,0,ai
ai16.py,2.44,2.43,19,114,1,0.16,12.8,11,2,0,True,0,0,0,9,3,0,0,0,ai
ai17.py,2.35,4.03,7,72,1,0.0,25.6,4,1,0,True,0,0,0,7,0,0,0,0,ai
ai18.py,4.06,7.0,25,139,4,0.2,21.2,11,6,0,True,1,0,1,7,3,0,0,0,ai
ai19.py,3.56,6.11,35,232,6,0.2,21.5,22,6,0,True,0,0,0,7,3,0,0,0,ai
ai2.py,2.17,3.5,16,99,0,0.06,11.9,6,4,0,True,0,1,1,7,4,0,0,0,ai
ai20.py,2.82,4.3,59,381,8,0.08,19.4,39,9,0,True,1,0,1,10,7,0,1,0,ai
ai21.py,4.4,4.48,14,90,3,0.36,28.6,0,4,0,False,0,0,0,7,4,0,0,0,ai
ai22.py,4.68,3.05,18,81,0,0.33,19.9,0,5,0,False,0,0,0,8,5,0,0,0,ai
ai23.py,2.84,3.94,23,225,2,0.09,28.2,15,6,0,True,0,0,0,10,0,0,0,0,ai
ai24.py,3.28,5.56,17,124,4,0.06,23.8,8,3,0,True,0,0,0,9,3,0,0,0,ai
ai25.py,3.4,6.1,15,103,3,0.2,24.1,7,3,0,True,0,0,0,8,2,0,0,0,ai
ai26.py,4.6,7.21,16,82,4,0.19,23.7,7,4,0,True,0,0,0,7,2,0,0,0,ai
ai27.py,4.46,9.58,14,109,4,0.29,34.4,6,3,0,True,0,0,0,8,2,0,0,0,ai
ai28.py,5.48,6.47,28,126,4,0.29,23.9,14,8,0,True,0,0,0,7,0,0,0,0,ai
ai29.py,3.04,4.93,34,215,2,0.09,15.2,25,5,0,True,0,0,0,9,1,0,0,0,ai
ai3.py,4.56,5.54,15,76,2,0.27,22.1,1,4,0,False,1,0,1,6,3,0,0,0,ai
ai30.py,3.42,6.5,7,58,2,0.14,27.3,1,1,0,True,0,0,0,9,2,0,0,0,ai
ai31.py,1.91,7.54,17,484,1,0.06,63.6,7,2,0,True,0,0,0,8,3,0,0,0,ai
ai32.py,3.19,6.73,7,41,2,0.14,18.4,1,1,0,True,0,0,0,6,2,0,0,0,ai
ai33.py,4.21,6.16,24,112,2,0.17,19.6,13,6,0,True,0,0,0,7,1,0,0,0,ai
ai34.py,2.89,3.63,11,83,1,0.36,20.6,5,2,0,True,0,0,0,8,1,0,0,0,ai
ai35.py,2.39,3.6,9,61,1,0.11,17.7,3,1,0,True,0,0,0,7,2,0,0,0,ai
ai36.py,2.7,4.25,6,44,1,0.17,20.0,1,1,0,True,0,0,0,8,1,0,0,0,ai
ai37.py,3.47,6.57,18,107,3,0.06,19.2,10,3,0,True,0,0,0,7,2,0,0,0,ai
ai38.py,3.49,6.69,6,51,2,0.17,28.3,1,1,0,True,0,0,0,8,1,0,0,0,ai
ai39.py,2.81,5.69,13,96,3,0.08,19.2,7,2,0,True,0,0,0,9,1,0,0,0,ai
ai4.py,3.24,4.75,34,208,2,0.06,17.6,22,9,0,True,0,0,0,10,0,0,0,0,ai
ai40.py,3.33,6.53,6,54,2,0.17,29.0,1,1,0,True,0,0,0,9,1,0,0,0,ai
ai41.py,2.68,4.89,12,95,1,0.08,19.8,5,1,0,True,0,0,0,8,3,0,0,0,ai
ai42.py,2.55,4.89,14,102,1,0.07,17.1,7,2,0,True,0,0,0,9,2,0,0,0,ai
ai43.py,2.46,3.72,14,108,1,0.07,18.8,7,3,0,True,1,0,1,9,1,0,0,0,ai
ai44.py,5.1,6.57,24,117,3,0.25,25.4,15,6,0,True,0,0,0,7,2,0,0,0,ai
ai45.py,3.31,4.85,80,503,10,0.16,20.6,68,15,0,True,0,0,0,9,0,0,0,0,ai
ai46.py,1.84,3.2,5,57,0,0.0,20.4,3,0,0,False,1,0,1,9,3,0,0,0,ai
ai47.py,3.04,3.83,17,104,0,0.12,16.1,9,2,0,False,1,0,1,7,5,0,0,0,ai
ai48.py,2.61,4.41,14,89,1,0.07,15.8,5,2,0,False,1,0,1,8,5,0,0,0,ai
ai49.py,1.95,3.82,8,64,1,0.0,15.1,2,2,0,False,0,0,0,7,2,0,0,0,ai
ai5.py,3.09,4.11,87,581,9,0.14,20.0,68,15,0,True,0,0,0,10,1,0,0,0,ai
ai50.py,4.54,5.1,22,149,3,0.32,29.6,14,4,0,True,1,0,1,9,4,0,0,0,ai
ai51.py,3.71,4.29,6,29,0,0.17,27.8,0,2,0,False,0,0,0,6,1,0,0,0,ai
ai52.py,3.91,3.72,15,93,1,0.2,21.9,4,4,0,True,0,0,0,6,2,0,0,0,ai
ai53.py,2.05,3.67,6,47,0,0.0,17.2,1,0,0,False,1,0,1,6,3,0,0,0,ai
ai54.py,2.45,3.5,9,86,0,0.22,24.2,2,1,0,False,1,0,1,9,5,0,0,0,ai
ai55.py,3.71,8.54,39,171,8,0.15,20.5,30,7,0,True,0,0,0,7,1,0,0,0,ai
ai56.py,2.03,3.26,14,123,0,0.0,16.5,12,2,0,False,1,0,1,9,5,1,0,0,ai
ai57.py,2.34,2.38,12,102,0,0.17,18.6,10,0,0,False,2,1,3,7,6,0,0,0,ai
ai58.py,2.28,3.73,23,183,4,0.0,17.3,21,3,0,False,2,0,2,9,11,0,6,0,ai
ai59.py,2.2,2.92,26,201,1,0.04,16.1,24,4,0,False,1,2,3,9,9,1,0,0,ai
ai6.py,2.62,3.98,16,112,2,0.0,20.6,13,1,2,True,0,0,0,8,0,0,0,0,ai
ai60.py,1.99,2.57,27,206,0,0.04,14.0,26,3,0,True,0,0,0,10,0,0,0,0,ai
ai7.py,2.86,4.41,4,48,1,0.0,36.2,3,0,0,True,0,0,0,8,0,0,0,0,ai
